player	position	age	agency_type	team_from	team_to	years_contract	total_amount	avg_amount
Dwight Howard	C	29	UFA	LAL	HOU	4	$87,591,270	$21,897,818
Nikola Pekovic	C	29	RFA	MIN	MIN	5	$60,000,000	$12,000,000
Josh Smith	SF	29	UFA	ATL	DET	4	$56,000,000	$14,000,000
Andre Iguodala	SG	31	UFA	DEN	GSW	4	$48,000,000	$12,000,000
Tyreke Evans	PG	25	RFA	SAC	NOP	4	$44,000,004	$11,000,001
Al Jefferson	C	30	UFA	UTH	None	3	$41,000,000	$13,666,667
Jeff Teague	PG	27	RFA	ATL	ATL	4	$32,000,000	$8,000,000
Jose Calderon	PG	33	UFA	DET	DAL	4	$29,000,000	$7,250,000
Kevin Martin	SG	32	UFA	OKC	MIN	4	$27,805,000	$6,951,250
J.J. Redick	SG	31	UFA	MIL	LAC	4	$27,755,000	$6,938,750
Jarrett Jack	PG	31	UFA	GSW	CLE	4	$25,200,000	$6,300,000
Monta Ellis	PG	29	UFA	MIL	DAL	3	$25,080,000	$8,360,000
Brandon Jennings	PG	25	RFA	MIL	DET	3	$24,000,000	$8,000,000
Kyle Korver	SF	34	UFA	ATL	ATL	4	$24,000,000	$6,000,000
O.J. Mayo	SG	27	UFA	DAL	MIL	3	$24,000,000	$8,000,000
Tony Allen	SG	33	UFA	MEM	MEM	4	$20,000,001	$5,000,000
Paul Millsap	PF	30	UFA	UTH	ATL	2	$19,000,000	$9,500,000
Gerald Henderson	SG	27	RFA	None	None	3	$18,000,000	$6,000,000
J.R. Smith	SG	29	UFA	NYK	NYK	3	$17,947,125	$5,982,375
J.J Hickson	C	26	UFA	POR	DEN	3	$16,145,250	$5,381,750
Keith Bogans	SF	35	UFA	BKN	BOS	3	$15,629,874	$5,209,958
Zaza Pachulia	C	31	UFA	ATL	MIL	3	$15,600,000	$5,200,000
Chase Budinger	SF	27	RFA	MIN	MIN	3	$15,000,000	$5,000,000
Manu Ginobili	SG	37	UFA	SAS	SAS	2	$14,500,000	$7,250,000
Corey Brewer	SF	29	UFA	DEN	MIN	3	$14,107,500	$4,702,500
Marreese Speights	PF	27	UFA	CLE	GSW	3	$10,972,500	$3,657,500
Matt Barnes	SF	35	UFA	LAC	LAC	3	$10,188,750	$3,396,250
Brandan Wright	C	27	UFA	DAL	DAL	2	$10,000,000	$5,000,000
Carlos Delfino	SG	32	UFA	HOU	MIL	3	$9,750,000	$3,250,000
Randy Foye	PG	31	UFA	UTH	DEN	3	$9,135,000	$3,045,000
Timofey Mozgov	C	28	RFA	DEN	DEN	2	$9,050,000	$4,525,000
Samuel Dalembert	C	30	UFA	MIL	DAL	2	$7,568,030	$3,784,015
Tyler Hansbrough	PF	29	UFA	IND	TOR	2	$6,509,235	$3,254,618
Andrei Kirilenko	SF	34	UFA	MIN	BKN	2	$6,509,235	$3,254,618
Mike Dunleavy	SF	34	UFA	MIL	CHI	2	$6,509,235	$3,254,618
Gary Neal	PG	30	UFA	SAS	MIL	2	$6,500,000	$3,250,000
Chris Copeland	SF	31	RFA	NYK	IND	2	$6,135,000	$3,067,500
Dorell Wright	SF	29	UFA	PHI	POR	2	$6,135,000	$3,067,500
Will Bynum	PG	32	UFA	DET	DET	2	$5,706,251	$2,853,126
Marco Belinelli	SG	29	UFA	CHI	SAS	2	$5,623,750	$2,811,875
Mo Williams	PG	32	UFA	UTH	POR	2	$5,423,340	$2,711,670
Wayne Ellington	SG	27	UFA	CLE	DAL	2	$5,423,340	$2,711,670
Josh McRoberts	PF	28	UFA	None	None	2	$5,423,340	$2,711,670
DeMarre Carroll	SF	28	UFA	UTH	ATL	2	$5,000,000	$2,500,000
Jason Maxiell	PF	32	UFA	DET	ORL	2	$5,000,000	$2,500,000
Pablo Prigioni	PG	38	RFA	NYK	NYK	3	$4,988,883	$1,662,961
Nate Robinson	PG	31	UFA	CHI	DEN	2	$4,122,720	$2,061,360
Eric Maynor	PG	28	UFA	POR	WAS	2	$4,122,720	$2,061,360
C.J. Watson	PG	31	UFA	BKN	IND	2	$4,093,000	$2,046,500
Elton Brand	PF	36	UFA	DAL	ATL	1	$4,000,000	$4,000,000
Darren Collison	PG	27	UFA	DAL	LAC	2	$3,885,500	$1,942,750
Al-Farouq Aminu	SF	24	UFA	NOP	NOP	1	$3,749,602	$3,749,602
Jeff Ayres	PF	28	RFA	IND	SAS	2	$3,578,750	$1,789,375
John Lucas III	PG	32	UFA	TOR	UTH	2	$3,200,000	$1,600,000
Chris Kaman	C	33	UFA	DAL	LAL	1	$3,183,000	$3,183,000
Ronny Turiaf	C	32	UFA	LAC	MIN	2	$3,000,000	$1,500,000
Jon Leuer	PF	26	RFA	MEM	MEM	3	$2,902,500	$967,500
Elliot Williams	SG	26	UFA	CLE	PHI	3	$2,879,231	$959,744
Chris Andersen	PF	37	UFA	MIA	MIA	2	$2,847,997	$1,423,999
Andray Blatche	C	28	UFA	BKN	BKN	2	$2,813,110	$1,406,555
Robert Sacre	C	26	RFA	LAL	LAL	3	$2,685,463	$895,154
Greg Stiemsma	C	29	UFA	MIN	NOP	1	$2,676,000	$2,676,000
Diante Garrett	PG	26	UFA	OKC	UTH	3	$2,615,857	$871,952
Francisco Garcia	SG	33	UFA	HOU	HOU	2	$2,582,786	$1,291,393
Ronnie Price	PG	32	UFA	POR	ORL	2	$2,582,786	$1,291,393
Chauncey Billups	PG	38	UFA	LAC	DET	1	$2,500,000	$2,500,000
Nick Young	SG	30	UFA	PHI	LAL	2	$2,334,927	$1,167,464
Brandon Davies	PF	23	UFA	LAC	PHI	3	$2,253,938	$751,313
Anthony Morrow	SG	29	UFA	DAL	NOP	2	$2,173,109	$1,086,555
Austin Daye	PF	27	UFA	MEM	TOR	2	$2,011,291	$1,005,646
Alan Anderson	SG	32	UFA	TOR	BKN	2	$2,011,291	$1,005,646
B.J. Mullens	PF	26	UFA	None	LAC	2	$2,011,291	$1,005,646
Omri Casspi	SF	27	UFA	CLE	HOU	2	$2,011,291	$1,005,646
Jermaine O'Neal	C	36	UFA	PHX	GSW	1	$2,000,000	$2,000,000
Julyan Stone	PG	26	UFA	DEN	TOR	2	$1,832,456	$916,228
Lance Thomas	SF	27	UFA	NOP	NOP	2	$1,832,456	$916,228
Danny Granger	SF	32	UFA	PHI	LAC	2	$1,674,261	$837,131
Malcolm Thomas	PF	26	UFA	CHI	SAS	2	$1,650,396	$825,198
Toney Douglas	PG	29	UFA	SAC	GSW	1	$1,600,000	$1,600,000
Glen Davis	PF	29	UFA	ORL	LAC	2	$1,566,579	$783,290
Shavlik Randolph	PF	31	UFA	BOS	PHX	2	$1,534,022	$767,011
Mike James	PG	40	UFA	CHI	CHI	2	$1,506,117	$753,059
Jeremy Tyler	PF	24	UFA	NYK	NYK	2	$1,504,747	$752,374
Kendall Marshall	PG	23	UFA	WAS	LAL	2	$1,462,813	$731,407
Lamar Odom	PF	35	UFA	LAC	NYK	2	$1,456,722	$728,361
DeJaun Blair	C	26	UFA	SAS	DAL	1	$1,400,000	$1,400,000
Antawn Jamison	PF	39	UFA	LAL	LAC	1	$1,399,507	$1,399,507
Al Harrington	PF	35	UFA	ORL	WAS	1	$1,399,507	$1,399,507
Jannero Pargo	PG	35	UFA	None	None	1	$1,399,507	$1,399,507
Mike Miller	SG	35	UFA	MIA	MEM	1	$1,399,507	$1,399,507
Kenyon Martin	PF	37	UFA	NYK	NYK	1	$1,399,507	$1,399,507
Derek Fisher	PG	40	UFA	OKC	OKC	1	$1,399,507	$1,399,507
Nazr Mohammed	C	37	UFA	CHI	CHI	1	$1,399,507	$1,399,507
Earl Watson	PG	36	UFA	UTH	POR	1	$1,399,507	$1,399,507
Luke Babbitt	SF	26	UFA	POR	NOP	2	$1,369,079	$684,540
Melvin Ely	C	37	UFA	MEM	NOP	2	$1,346,597	$673,299
Jamaal Tinsley	PG	37	UFA	UTH	UTH	1	$1,339,507	$1,339,507
Josh Powell	PF	32	UFA	NYK	HOU	2	$1,324,244	$662,122
Chris Smith	SG	27	UFA	NYK	NYK	2	$1,306,662	$653,331
Beno Udrih	PG	33	UFA	ORL	NYK	1	$1,272,279	$1,272,279
Shaun Livingston	PG	29	UFA	CLE	BKN	1	$1,272,279	$1,272,279
Devin Harris	PG	32	UFA	ATL	DAL	1	$1,265,977	$1,265,977
Louis Amundson	PF	32	UFA	NOP	LAC	1	$1,186,459	$1,186,459
Ryan Hollins	C	30	UFA	LAC	LAC	1	$1,186,459	$1,186,459
Josh Childress	SF	32	UFA	WAS	NOP	1	$1,081,771	$1,081,771
D.J. White	PF	28	UFA	BOS	CHI	1	$1,027,424	$1,027,424
Michael Beasley	SF	26	UFA	PHX	MIA	1	$1,027,424	$1,027,424
Anthony Tolliver	PF	30	UFA	ATL	None	1	$1,027,424	$1,027,424
Greg Oden	C	27	UFA	POR	MIA	1	$1,027,424	$1,027,424
Andrew Bynum	C	27	UFA	CHI	IND	1	$1,000,000	$1,000,000
A.J. Price	PG	28	UFA	WAS	MIN	1	$947,907	$947,907
Aaron Brooks	PG	30	UFA	HOU	HOU	1	$947,907	$947,907
Cole Aldrich	C	26	UFA	SAC	NYK	1	$916,099	$916,099
Wesley Johnson	SF	28	UFA	PHX	LAL	1	$916,099	$916,099
Gary Forbes	SF	30	UFA	HOU	BKN	1	$884,293	$884,293
Hamady N'Diaye	C	28	UFA	SAC	SAC	1	$884,293	$884,293
Jorge Gutierrez	PG	26	UFA	BKN	BKN	2	$874,150	$437,075
Darius Johnson-Odom	SG	25	UFA	LAL	LAL	1	$788,872	$788,872
Bernard James	C	30	UFA	DAL	DAL	1	$788,872	$788,872
D.J. Augustin	PG	27	UFA	TOR	CHI	1	$755,459	$755,459
Hedo Turkoglu	SF	36	UFA	ORL	LAC	1	$749,148	$749,148
Chris Douglas-Roberts	SG	28	UFA	NYK	None	1	$708,142	$708,142
James Johnson	PF	28	UFA	ATL	MEM	1	$680,263	$680,263
Justin Hamilton	C	25	UFA	MIA	MIA	1	$490,180	$490,180
Dewayne Dedmon	PF	25	UFA	GSW	GSW	1	$432,512	$432,512
Leandro Barbosa	SG	32	UFA	PHX	PHX	1	$410,936	$410,936
Caron Butler	SF	35	UFA	MIL	OKC	1	$386,923	$386,923
Seth Curry	PG	24	UFA	GSW	MEM	1	$328,709	$328,709
Troy Daniels	SG	23	UFA	HOU	HOU	2	$158,588	$79,294
Willie Reed	PF	25	UFA	MEM	SAC	1	$102,089	$102,089
Hilton Armstrong	C	30	UFA	GSW	GSW	1	$48,349	$48,349
Jarvis Varnado	PF	27	UFA	MIA	CHI	10	$46,404	$4,640
Xavier Henry	SG	24	UFA	NOP	LAL	-	-	-
