player	position	age	agency_type	team_from	team_to	years_contract	total_amount	avg_amount
Marc Gasol	C	30	RFA	MEM	MEM	4	$57,503,764	$14,375,941
Tyson Chandler	C	32	UFA	DAL	NYK	4	$55,409,450	$13,852,363
Thaddeus Young	SF	27	RFA	PHI	PHI	5	$43,999,998	$8,800,000
DeAndre Jordan	C	27	RFA	LAC	LAC	4	$43,039,054	$10,759,764
Arron Afflalo	SG	29	RFA	DEN	DEN	5	$36,712,500	$7,342,500
Wilson Chandler	SF	28	RFA	DEN	DEN	5	$31,720,817	$6,344,163
Marcus Thornton	SG	28	RFA	SAC	SAC	4	$31,150,000	$7,787,500
Tayshaun Prince	SF	35	UFA	DET	DET	4	$28,000,000	$7,000,000
Glen Davis	PF	29	UFA	BOS	BOS	4	$25,700,000	$6,425,000
Rodney Stuckey	PG	29	RFA	DET	DET	3	$25,500,000	$8,500,000
Jason Richardson	SG	34	UFA	ORL	ORL	4	$24,000,000	$6,000,000
Caron Butler	SF	35	UFA	DAL	LAC	3	$24,000,000	$8,000,000
Chuck Hayes	PF	32	UFA	HOU	SAC	4	$22,417,500	$5,604,375
David West	PF	34	UFA	None	IND	2	$20,000,000	$10,000,000
Luc Richard Mbah a Moute	PF	28	RFA	MIL	MIL	4	$18,765,152	$4,691,288
Jose Barea	PG	31	UFA	DAL	MIN	4	$18,000,000	$4,500,000
Jonas Jerebko	PF	28	RFA	DET	DET	4	$18,000,000	$4,500,000
Richard Hamilton	SG	37	UFA	DET	CHI	2	$10,000,000	$5,000,000
Shane Battier	SF	36	UFA	MEM	MIA	3	$9,405,000	$3,135,000
Vince Carter	SG	38	UFA	PHX	DAL	3	$9,270,000	$3,090,000
Corey Brewer	SF	29	UFA	NYK	DAL	3	$9,177,000	$3,059,000
Carl Landry	PF	31	UFA	None	None	1	$9,000,000	$9,000,000
Jeff Green	PF	28	RFA	BOS	BOS	1	$9,000,000	$9,000,000
Kris Humphries	PF	30	UFA	None	None	1	$8,000,000	$8,000,000
Mario Chalmers	PG	29	RFA	MIA	MIA	2	$8,000,000	$4,000,000
Jason Smith	PF	29	UFA	None	None	3	$7,500,000	$2,500,000
Mike Dunleavy	SF	34	UFA	IND	MIL	2	$7,500,000	$3,750,000
Grant Hill	SF	42	UFA	PHX	PHX	1	$6,500,000	$6,500,000
Daequan Cook	SG	28	RFA	OKC	OKC	2	$6,500,000	$3,250,000
James Jones	SF	34	UFA	MIA	MIA	3	$4,500,000	$1,500,000
Dante Cunningham	PF	28	RFA	None	MEM	2	$4,090,000	$2,045,000
Spencer Hawes	C	27	RFA	PHI	PHI	1	$4,051,023	$4,051,023
Sebastian Telfair	PG	30	UFA	MIN	PHX	2	$3,067,500	$1,533,750
Kurt Thomas	PF	42	UFA	CHI	POR	2	$2,704,362	$1,352,181
Kenyon Martin	PF	37	UFA	DEN	LAC	1	$2,500,000	$2,500,000
Earl Clark	SF	27	UFA	ORL	ORL	2	$2,400,000	$1,200,000
Anthony Parker	SG	40	UFA	CLE	CLE	1	$2,250,000	$2,250,000
Brandan Wright	C	27	UFA	None	DAL	2	$1,908,532	$954,266
Brian Cardinal	PF	None	UFA	DAL	DAL	1	$1,400,000	$1,400,000
Brian Scalabrine	PF	37	UFA	CHI	CHI	1	$1,400,000	$1,400,000
Juwan Howard	PF	42	UFA	MIA	MIA	1	$1,400,000	$1,400,000
Baron Davis	PG	36	UFA	CLE	NYK	1	$1,352,181	$1,352,181
Mike Bibby	PG	None	UFA	MIA	NYK	1	$1,352,181	$1,352,181
Tony Battie	PF	None	UFA	PHI	PHI	1	$1,352,181	$1,352,181
Jason Collins	C	27	UFA	ATL	ATL	1	$1,352,181	$1,352,181
Jerry Stackhouse	SF	40	UFA	ATL	ATL	1	$1,352,181	$1,352,181
Tracy McGrady	SG	36	UFA	DET	ATL	1	$1,352,181	$1,352,181
Hamed Haddadi	C	30	RFA	MEM	MEM	1	$1,300,000	$1,300,000
Jared Jeffries	PF	33	UFA	NYK	NYK	1	$1,229,255	$1,229,255
Sasha Pavlovic	SG	31	UFA	BOS	BOS	1	$1,223,166	$1,223,166
Ronnie Price	PG	32	UFA	UTH	PHX	1	$1,069,509	$1,069,509
Craig Smith	PF	None	UFA	LAC	POR	1	$992,680	$992,680
Dominic McGuire	SF	29	UFA	None	GSW	1	$915,852	$915,852
Josh Davis	PF	None	UFA	MEM	MEM	1	$854,389	$854,389
Joel Przybilla	C	35	UFA	None	POR	1	$655,616	$655,616
DeMarre Carroll	SF	28	UFA	UTH	DEN	1	$537,438	$537,438
Yi Jianlian	PF	None	UFA	WAS	DAL	1	$771	$771
Jeff Foster	C	None	UFA	IND	IND	1	$3	$3
Michael Redd	SG	None	UFA	MIL	PHX	1	$1	$1
Troy Murphy	PF	35	UFA	BOS	LAL	1	$1	$1
Maurice Evans	SG	None	UFA	WAS	WAS	1	$1	$1
Earl Barron	PF	33	UFA	GSW	GSW	-	-	-
Melvin Ely	C	37	UFA	DEN	None	-	-	-
Anthony Carter	PG	None	UFA	NYK	TOR	-	-	-
Seth Tarver	SG	27	UFA	POR	POR	-	-	-
Earl Watson	PG	36	UFA	UTH	UTH	2	-	$0
John Lucas III	PG	32	UFA	CHI	CHI	-	-	-
Chris Johnson	PF	29	RFA	POR	BOS	-	-	-
