player	position	age	agency_type	team_from	team_to	years_contract	total_amount	avg_amount
Deron Williams	PG	31	UFA	BKN	BKN	5	$98,772,325	$19,754,465
Eric Gordon	SG	26	RFA	None	None	4	$58,365,563	$14,591,391
Roy Hibbert	C	28	RFA	IND	IND	4	$58,365,563	$14,591,391
Nicolas Batum	SF	26	RFA	POR	POR	4	$46,121,500	$11,530,375
JaVale McGee	C	27	RFA	DEN	DEN	4	$44,000,000	$11,000,000
Gerald Wallace	SF	32	UFA	BKN	BKN	4	$40,000,030	$10,000,008
George Hill	PG	29	RFA	IND	IND	5	$40,000,000	$8,000,000
Ersan Ilyasova	SF	28	UFA	MIL	MIL	5	$40,000,000	$8,000,000
Kevin Garnett	C	39	UFA	BOS	BOS	3	$36,000,000	$12,000,000
Jeff Green	PF	28	UFA	BOS	BOS	4	$35,200,000	$8,800,000
Ryan Anderson	PF	27	RFA	ORL	ORL	4	$34,000,000	$8,500,000
Tim Duncan	PF	39	UFA	SAS	SAS	3	$30,361,446	$10,120,482
Jason Thompson	PF	28	RFA	SAC	SAC	5	$30,187,500	$6,037,500
Goran Dragic	PG	29	UFA	HOU	PHX	4	$30,000,000	$7,500,000
Steve Nash	PG	41	UFA	PHX	LAL	3	$27,901,500	$9,300,500
Jameer Nelson	PG	33	UFA	ORL	ORL	3	$25,200,000	$8,400,000
Omer Asik	C	29	RFA	CHI	HOU	3	$25,123,938	$8,374,646
Jeremy Lin	PG	26	RFA	NYK	HOU	3	$25,123,938	$8,374,646
Courtney Lee	SG	29	UFA	HOU	HOU	4	$21,350,000	$5,337,500
Jamal Crawford	SG	35	UFA	POR	LAC	4	$21,350,000	$5,337,500
Brandon Bass	PF	30	UFA	BOS	BOS	3	$19,350,000	$6,450,000
Landry Fields	SF	27	RFA	NYK	TOR	3	$18,750,000	$6,250,000
Michael Beasley	SF	26	UFA	MIN	PHX	3	$18,000,000	$6,000,000
Ian Mahinmi	C	28	UFA	DAL	DAL	4	$16,000,000	$4,000,000
Louis Williams	SG	28	UFA	PHI	ATL	3	$15,675,000	$5,225,000
Jason Terry	SG	37	UFA	DAL	BOS	3	$15,675,000	$5,225,000
Raymond Felton	PG	31	UFA	POR	POR	4	$14,860,000	$3,715,000
Andre Miller	PG	39	UFA	DEN	DEN	3	$14,625,000	$4,875,000
Marcus Camby	C	41	UFA	HOU	HOU	3	$13,151,319	$4,383,773
Spencer Hawes	C	27	UFA	PHI	PHI	2	$13,100,000	$6,550,000
Danny Green	SG	28	RFA	SAS	SAS	3	$11,287,500	$3,762,500
Brandon Roy	SG	30	UFA	POR	MIN	2	$10,400,000	$5,200,000
Ramon Sessions	PG	29	UFA	LAL	None	2	$10,000,000	$5,000,000
Darrell Arthur	PF	27	RFA	MEM	MEM	2	$9,675,000	$4,837,500
Boris Diaw	C	33	UFA	SAS	SAS	2	$9,202,500	$4,601,250
Jason Kidd	PG	42	UFA	DAL	NYK	3	$9,090,000	$3,030,000
Marreese Speights	PF	27	RFA	MEM	MEM	2	$8,715,000	$4,357,500
O.J. Mayo	SG	27	UFA	MEM	DAL	2	$8,220,900	$4,110,450
Carl Landry	PF	31	UFA	None	GSW	2	$8,000,000	$4,000,000
Brandon Rush	SG	30	RFA	GSW	GSW	2	$8,000,000	$4,000,000
Chris Kaman	C	33	UFA	None	DAL	1	$8,000,000	$8,000,000
Kirk Hinrich	SG	34	UFA	ATL	CHI	2	$8,000,000	$4,000,000
Jordan Hill	C	27	UFA	LAL	LAL	2	$7,127,200	$3,563,600
Shannon Brown	PG	29	UFA	PHX	PHX	2	$7,000,000	$3,500,000
DeShawn Stevenson	SF	34	UFA	ATL	ATL	3	$6,721,350	$2,240,450
Ray Allen	SG	39	UFA	BOS	MIA	2	$6,319,050	$3,159,525
Jerryd Bayless	PG	26	UFA	TOR	MEM	2	$6,135,000	$3,067,500
LaVoy Allen	PF	26	RFA	PHI	PHI	2	$6,060,000	$3,030,000
Carlos Delfino	SG	32	UFA	MIL	HOU	2	$6,000,000	$3,000,000
Kwame Brown	C	33	UFA	MIL	PHI	2	$5,764,945	$2,882,473
J.R. Smith	SG	29	UFA	NYK	NYK	2	$5,739,194	$2,869,597
Nick Young	SG	30	UFA	LAC	PHI	1	$5,600,000	$5,600,000
Greg Stiemsma	C	29	RFA	BOS	MIN	2	$5,265,875	$2,632,938
Aaron Gray	C	30	UFA	TOR	TOR	2	$5,265,875	$2,632,938
Anthony Randolph	PF	25	UFA	MIN	DEN	3	$5,250,000	$1,750,000
Jeremy Evans	SF	27	RFA	UTH	UTH	3	$5,250,000	$1,750,000
Reggie Evans	PF	35	UFA	LAC	BKN	3	$5,086,905	$1,695,635
Aaron Brooks	PG	30	UFA	SAC	HOU	1	$5,000,000	$5,000,000
Jared Jeffries	PF	33	UFA	NYK	NYK	3	$4,624,458	$1,541,486
C.J. Miles	SG	28	UFA	UTH	CLE	2	$4,450,000	$2,225,000
Willie Green	SG	33	UFA	ATL	ATL	3	$4,222,997	$1,407,666
Grant Hill	SF	42	UFA	PHX	LAC	2	$4,002,065	$2,001,033
Chauncey Billups	PG	38	UFA	LAC	LAC	1	$4,000,000	$4,000,000
J.J Hickson	C	26	RFA	POR	POR	1	$4,000,000	$4,000,000
D.J. Augustin	PG	27	UFA	None	IND	1	$3,500,000	$3,500,000
John Lucas III	PG	32	UFA	CHI	TOR	2	$3,000,000	$1,500,000
Ishmael Smith	PG	27	UFA	ORL	ORL	3	$2,854,389	$951,463
Rashard Lewis	PF	35	UFA	None	MIA	2	$2,751,688	$1,375,844
Hamed Haddadi	C	30	UFA	MEM	MEM	2	$2,697,500	$1,348,750
Randy Foye	PG	31	UFA	LAC	UTH	1	$2,500,000	$2,500,000
James Anderson	SG	26	UFA	SAS	HOU	3	$2,429,920	$809,973
Ronnie Price	PG	32	UFA	PHX	POR	2	$2,412,314	$1,206,157
Patrick Mills	PG	26	UFA	SAS	SAS	2	$2,219,070	$1,109,535
C.J. Watson	PG	31	UFA	CHI	BKN	2	$2,099,622	$1,049,811
Marco Belinelli	SG	29	UFA	None	CHI	1	$1,957,000	$1,957,000
Daniel Orton	C	24	UFA	ORL	OKC	2	$1,770,488	$885,244
Martell Webster	SF	28	UFA	MIN	WAS	1	$1,750,000	$1,750,000
DeAndre Liggins	SG	27	UFA	ORL	OKC	2	$1,646,488	$823,244
Cory Higgins	SG	26	UFA	None	None	2	$1,646,488	$823,244
E'Twaun Moore	SG	26	UFA	HOU	ORL	2	$1,646,488	$823,244
Jodie Meeks	SG	27	UFA	PHI	LAL	1	$1,500,000	$1,500,000
Troy Murphy	PF	35	UFA	LAL	DAL	1	$1,352,181	$1,352,181
Jamaal Magloire	C	None	UFA	TOR	TOR	1	$1,352,181	$1,352,181
Jermaine O'Neal	C	36	UFA	BOS	PHX	1	$1,352,181	$1,352,181
Nazr Mohammed	C	37	UFA	OKC	CHI	1	$1,352,181	$1,352,181
Jason Collins	C	27	UFA	ATL	BOS	1	$1,352,181	$1,352,181
Antawn Jamison	PF	39	UFA	CLE	LAL	1	$1,352,181	$1,352,181
Vladimir Radmanovic	SF	34	UFA	ATL	CHI	1	$1,352,181	$1,352,181
Jerry Stackhouse	SF	40	UFA	ATL	BKN	1	$1,352,181	$1,352,181
Chris Wilcox	PF	32	UFA	BOS	BOS	1	$1,352,181	$1,352,181
Chris Quinn	PG	None	UFA	UTH	CLE	2	$1,276,282	$638,141
Leandro Barbosa	SG	32	UFA	IND	BOS	1	$1,229,255	$1,229,255
Jannero Pargo	PG	35	UFA	ATL	WAS	1	$1,229,255	$1,229,255
Marquis Daniels	SF	34	UFA	BOS	MIL	1	$1,229,255	$1,229,255
Matt Barnes	SF	35	UFA	LAL	LAC	1	$1,229,255	$1,229,255
Keith Bogans	SF	35	UFA	None	BKN	1	$1,229,255	$1,229,255
Damien Wilkins	SG	35	UFA	DET	PHI	1	$1,223,166	$1,223,166
Roger Mason	SG	34	UFA	WAS	None	1	$1,223,166	$1,223,166
Royal Ivey	PG	33	UFA	OKC	PHI	1	$1,223,166	$1,223,166
Delonte West	PG	None	UFA	DAL	DAL	1	$1,223,166	$1,223,166
Solomon Jones	PF	30	UFA	PHX	NYK	2	$1,217,915	$608,958
Terrence Williams	SG	28	UFA	BOS	BOS	2	$1,197,823	$598,912
Kevin Jones	PF	25	UFA	CLE	CLE	2	$1,178,899	$589,450
Andray Blatche	C	28	UFA	WAS	BKN	1	$1,146,337	$1,146,337
Nate Robinson	PG	31	UFA	GSW	CHI	1	$1,146,337	$1,146,337
Ronny Turiaf	C	32	UFA	MIA	LAC	1	$1,146,337	$1,146,337
Shaun Livingston	PG	29	UFA	HOU	WAS	1	$1,108,044	$1,108,044
Ronnie Brewer	SF	30	UFA	CHI	NYK	1	$1,069,509	$1,069,509
Devin Ebanks	SF	25	RFA	LAL	LAL	1	$1,054,389	$1,054,389
Luke Harangody	PF	27	RFA	CLE	CLE	1	$1,054,389	$1,054,389
Donte Greene	SF	27	RFA	SAC	MEM	2	$1,032,811	$516,406
Jarvis Varnado	PF	27	UFA	MIA	MIA	2	$1,006,173	$503,087
Ivan Johnson	PF	31	RFA	ATL	ATL	1	$962,195	$962,195
Darius Morris	PG	24	RFA	LAL	LAL	1	$962,195	$962,195
Cartier Martin	PF	30	UFA	WAS	WAS	1	$915,852	$915,852
A.J. Price	PG	28	UFA	IND	WAS	1	$885,120	$885,120
Anthony Tolliver	PF	30	UFA	MIN	ATL	1	$854,389	$854,389
Justin Holiday	SF	26	UFA	POR	PHI	2	$836,232	$418,116
Kris Joseph	SF	26	UFA	BKN	BKN	2	$805,587	$402,794
Josh Akognon	PG	29	UFA	DAL	DAL	2	$802,802	$401,401
Willie Reed	PF	25	UFA	SAC	MEM	2	$791,658	$395,829
