player	position	age	agency_type	team_from	team_to	years_contract	total_amount	avg_amount
Terrel Harris	SG	27	UFA	MIA	MIA	1	$762,195	$762,195
Jermaine Taylor	SG	28	UFA	SAC	MIN	1	$762,195	$762,195
Daequan Cook	SG	28	UFA	HOU	CHI	1	$595,608	$595,608
Chris Douglas-Roberts	SG	28	UFA	DAL	DAL	1	$593,678	$593,678
Lazar Hayward	PF	28	UFA	HOU	MIN	1	$573,066	$573,066
Garrett Temple	SG	29	UFA	MIA	WAS	1	$572,943	$572,943
Seth Tarver	SG	27	UFA	POR	MIN	1	$473,604	$473,604
Jerel McNeal	PG	28	UFA	None	TOR	1	$473,604	$473,604
James Mays	PF	29	UFA	BKN	BKN	1	$473,604	$473,604
Jamar Smith	SG	None	UFA	BOS	BOS	1	$473,604	$473,604
Keyon Dooling	SG	35	UFA	BOS	MEM	1	$119,310	$119,310
Chris Andersen	PF	37	UFA	DEN	MIA	-	$72,309	-
Shavlik Randolph	PF	31	UFA	WAS	BOS	10	$58,393	$5,839
Dominic McGuire	SF	29	UFA	IND	IND	10	$58,392	$5,839
Andrew Goudelock	PG	26	UFA	LAL	LAL	1	$17,934	$17,934
Quentin Richardson	PF	35	UFA	ORL	NYK	1	$15,908	$15,908
Tracy McGrady	SG	36	UFA	ATL	SAS	1	$15,908	$15,908
Jermey Pargo	PG	29	UFA	PHI	PHI	1	-	$0
Mike James	PG	40	UFA	DAL	DAL	-	-	-
Damion James	SG	27	UFA	ATL	BKN	-	-	-
Mickael Pietrus	SF	33	UFA	BOS	TOR	-	-	-
Xavier Silas	SG	27	UFA	PHI	PHI	-	-	-
Kyrylo Fesenko	C	28	UFA	IND	CHI	-	-	-
D.J. Kennedy	SG	25	UFA	MEM	MEM	-	-	-
