player	position	age	agency_type	team_from	team_to	years_contract	total_amount	avg_amount
Carmelo Anthony	SF	31	UFA	NYK	NYK	5	$124,064,681	$24,812,936
Chris Bosh	C	31	UFA	MIA	MIA	5	$118,705,300	$23,741,060
Eric Bledsoe	PG	25	RFA	PHX	PHX	5	$70,000,000	$14,000,000
Gordon Hayward	SG	25	RFA	UTH	UTH	4	$62,965,420	$15,741,355
Marcin Gortat	C	31	UFA	WAS	WAS	5	$60,000,000	$12,000,000
Kyle Lowry	PG	29	UFA	TOR	TOR	4	$48,000,000	$12,000,000
Chandler Parsons	SF	26	RFA	HOU	DAL	3	$46,084,500	$15,361,500
LeBron James	SF	30	UFA	MIA	CLE	2	$42,217,798	$21,108,899
Trevor Ariza	SF	30	UFA	WAS	WAS	4	$32,000,002	$8,000,001
Avery Bradley	PG	24	RFA	BOS	BOS	4	$32,000,000	$8,000,000
Channing Frye	PF	32	UFA	PHX	ORL	4	$32,000,000	$8,000,000
Dwyane Wade	SG	33	UFA	MIA	MIA	2	$31,125,000	$15,562,500
Boris Diaw	C	33	UFA	SAS	SAS	4	$28,000,000	$7,000,000
Isaiah Thomas	PG	26	RFA	SAC	SAC	4	$27,000,002	$6,750,001
Dirk Nowitzki	PF	37	UFA	DAL	DAL	3	$25,000,000	$8,333,333
Spencer Hawes	C	27	UFA	CLE	LAC	4	$22,652,350	$5,663,088
Pau Gasol	PF	35	UFA	LAL	CHI	3	$22,346,280	$7,448,760
Nick Young	SG	30	UFA	LAL	LAL	4	$21,326,174	$5,331,544
Luol Deng	SF	30	UFA	CLE	MIA	2	$19,866,073	$9,933,037
Jodie Meeks	SG	27	UFA	LAL	DET	3	$18,810,000	$6,270,000
Patrick Patterson	PF	26	RFA	TOR	TOR	3	$18,150,001	$6,050,000
Lance Stephenson	SG	24	UFA	IND	CHA	2	$18,000,000	$9,000,000
C.J. Miles	SG	28	UFA	CLE	IND	4	$17,955,350	$4,488,838
Shaun Livingston	PG	29	UFA	BKN	GSW	3	$16,631,175	$5,543,725
Devin Harris	PG	32	UFA	DAL	DAL	4	$16,562,884	$4,140,721
Darren Collison	PG	27	UFA	LAC	SAC	3	$15,040,677	$5,013,559
