player	position	age	agency_type	team_from	team_to	years_contract	total_amount	avg_amount
Marvin Williams	PF	29	UFA	UTH	CHA	2	$14,000,000	$7,000,000
Kris Humphries	PF	30	UFA	BOS	BOS	3	$13,320,000	$4,440,000
Greivis Vasquez	PG	28	RFA	TOR	TOR	2	$13,000,000	$6,500,000
Patrick Mills	PG	26	UFA	SAS	SAS	3	$13,000,000	$4,333,333
Vince Carter	SG	38	UFA	DAL	MEM	3	$12,000,000	$4,000,000
Thabo Sefolosha	SG	31	UFA	OKC	ATL	3	$12,000,000	$4,000,000
Paul Pierce	SF	37	UFA	BKN	WAS	2	$10,848,725	$5,424,363
Chris Andersen	PF	37	UFA	MIA	MIA	2	$10,375,000	$5,187,500
Anthony Morrow	SG	29	UFA	NOP	OKC	3	$10,032,000	$3,344,000
Mike Scott	PF	27	RFA	ATL	ATL	3	$10,000,000	$3,333,333
Chris Kaman	C	33	UFA	LAL	POR	2	$9,816,000	$4,908,000
Trevor Booker	PF	27	UFA	WAS	UTH	2	$9,775,000	$4,887,500
Jordan Hill	C	27	UFA	LAL	LAL	1	$9,000,000	$9,000,000
Caron Butler	SF	35	UFA	OKC	DET	2	$9,000,000	$4,500,000
Mario Chalmers	PG	29	UFA	MIA	MIA	2	$8,300,000	$4,150,000
Shelvin Mack	PG	25	RFA	ATL	ATL	3	$7,300,000	$2,433,333
Evan Turner	SF	26	UFA	IND	BOS	2	$6,703,510	$3,351,755
Jerryd Bayless	PG	26	UFA	BOS	MIL	2	$6,000,000	$3,000,000
DeJaun Blair	C	26	UFA	DAL	DAL	3	$6,000,000	$2,000,000
D.J. Augustin	PG	27	UFA	CHI	DET	2	$6,000,000	$3,000,000
Mike Miller	SG	35	UFA	MEM	CLE	2	$5,586,940	$2,793,470
Jameer Nelson	PG	33	UFA	ORL	DAL	2	$5,586,940	$2,793,470
Brian Roberts	PG	29	UFA	NOP	CHA	2	$5,586,940	$2,793,470
Kirk Hinrich	SG	34	UFA	CHI	CHI	2	$5,586,940	$2,793,470
Udonis Haslem	PF	35	UFA	MIA	MIA	2	$5,586,940	$2,793,470
Greg Monroe	C	25	RFA	DET	DET	1	$5,479,933	$5,479,933
James Johnson	PF	28	UFA	MEM	TOR	2	$5,000,000	$2,500,000
Ramon Sessions	PG	29	UFA	MIL	SAC	2	$4,247,465	$2,123,733
Beno Udrih	PG	33	UFA	MEM	MEM	2	$4,247,465	$2,123,733
Danny Granger	SF	32	UFA	LAC	MIA	2	$4,247,465	$2,123,733
Jordan Farmar	PG	28	UFA	LAL	LAC	2	$4,247,465	$2,123,733
Steve Blake	PG	35	UFA	GSW	POR	2	$4,247,465	$2,123,733
Kent Bazemore	SG	26	UFA	LAL	ATL	2	$4,000,000	$2,000,000
Kevin Seraphin	PF	25	RFA	WAS	WAS	1	$3,898,691	$3,898,691
Grant Jarrett	PF	22	UFA	OKC	OKC	4	$3,867,199	$966,800
Mo Williams	PG	32	UFA	POR	MIN	1	$3,750,000	$3,750,000
Ryan Kelly	PF	24	UFA	LAL	LAL	2	$3,374,250	$1,687,125
Jason Smith	PF	29	UFA	NOP	NYK	1	$3,278,000	$3,278,000
Aaron Gray	C	30	UFA	SAC	DET	2	$2,584,131	$1,292,066
Cartier Martin	PF	30	UFA	ATL	DET	2	$2,416,650	$1,208,325
Brandon Rush	SG	30	UFA	UTH	GSW	2	$2,416,649	$1,208,325
Garrett Temple	SG	29	UFA	WAS	WAS	2	$2,081,686	$1,040,843
Al-Farouq Aminu	SF	24	UFA	NOP	DAL	2	$2,081,686	$1,040,843
Ed Davis	PF	26	UFA	MEM	LAL	2	$2,081,686	$1,040,843
Aron Baynes	PF	28	RFA	SAS	SAS	1	$2,077,000	$2,077,000
Elton Brand	PF	36	UFA	ATL	ATL	1	$2,000,000	$2,000,000
Toure Murry	SF	25	UFA	NYK	UTH	2	$2,000,000	$1,000,000
John Salmons	SF	35	UFA	ATL	NOP	1	$2,000,000	$2,000,000
E'Twaun Moore	SG	26	UFA	ORL	CHI	2	$1,963,584	$981,792
Diante Garrett	PG	26	UFA	TOR	POR	2	$1,896,591	$948,296
Darius Miller	SF	25	UFA	NOP	NOP	2	$1,896,591	$948,296
Troy Daniels	SG	23	RFA	HOU	HOU	2	$1,763,758	$881,879
Nazr Mohammed	C	37	UFA	CHI	CHI	1	$1,448,490	$1,448,490
Hedo Turkoglu	SF	36	UFA	LAC	LAC	1	$1,448,490	$1,448,490
Leandro Barbosa	SG	32	UFA	PHX	GSW	1	$1,448,490	$1,448,490
Shawn Marion	SF	37	UFA	DAL	CLE	1	$1,448,490	$1,448,490
James Jones	SF	34	UFA	MIA	CLE	1	$1,448,490	$1,448,490
Jannero Pargo	PG	35	UFA	CHA	CHA	1	$1,448,490	$1,448,490
Matt Bonner	PF	35	UFA	SAS	SAS	1	$1,448,490	$1,448,490
Richard Jefferson	SF	35	UFA	UTH	DAL	1	$1,448,490	$1,448,490
Rashard Lewis	PF	35	UFA	MIA	DAL	1	$1,448,490	$1,448,490
Drew Gooden	C	33	UFA	WAS	WAS	1	$1,448,490	$1,448,490
Francisco Garcia	SG	33	UFA	HOU	HOU	1	$1,316,809	$1,316,809
Ronnie Price	PG	32	UFA	ORL	LAL	1	$1,316,809	$1,316,809
Ryan Hollins	C	30	UFA	LAC	SAC	1	$1,310,286	$1,310,286
Shannon Brown	PG	29	UFA	NYK	MIA	1	$1,310,286	$1,310,286
Rodney Stuckey	PG	29	UFA	DET	IND	1	$1,227,985	$1,227,985
Glen Davis	PF	29	UFA	LAC	LAC	1	$1,227,985	$1,227,985
Aaron Brooks	PG	30	UFA	DEN	CHI	1	$1,145,685	$1,145,685
Xavier Henry	SG	24	UFA	LAL	LAL	1	$1,082,000	$1,082,000
Hasheem Thabeet	C	28	UFA	PHI	DET	1	$1,063,384	$1,063,384
Wayne Ellington	SG	27	UFA	SAC	LAL	1	$1,063,384	$1,063,384
Omri Casspi	SF	27	UFA	NOP	SAC	1	$1,063,384	$1,063,384
Ekpe Udoh	PF	27	UFA	MIL	LAC	1	$981,084	$981,084
Wesley Johnson	SF	28	UFA	LAL	LAL	1	$981,084	$981,084
Ishmael Smith	PG	27	UFA	PHX	HOU	1	$981,084	$981,084
Jeff Adrien	SF	29	UFA	MIL	HOU	1	$981,084	$981,084
Cole Aldrich	C	26	UFA	NYK	NYK	1	$981,084	$981,084
Chris Douglas-Roberts	SG	28	UFA	CHA	LAC	1	$948,163	$948,163
Jordan Hamilton	SF	24	UFA	HOU	TOR	1	$948,163	$948,163
Jimmer Fredette	PG	30	UFA	CHI	NOP	1	$948,163	$948,163
LaVoy Allen	PF	26	UFA	IND	IND	1	$948,163	$948,163
Bernard James	C	30	UFA	DAL	DAL	1	$915,243	$915,243
Robbie Hummel	SF	26	UFA	MIN	MIN	1	$880,000	$880,000
Peyton Siva	PG	24	UFA	DET	ORL	1	$816,482	$816,482
Adonis Thomas	SF	22	RFA	PHI	IND	1	$816,482	$816,482
John Lucas III	PG	32	UFA	BOS	WAS	-	-	-
