player	position	age	agency_type	team_from	team_to	years_contract	total_amount	avg_amount
Gary Neal	PG	30	UFA	MIN	WAS	1	$2,139,000	$2,139,000
Thomas Robinson	PF	24	UFA	PHI	BKN	2	$2,032,309	$1,016,155
Aaron Brooks	PG	30	UFA	CHI	CHI	1	$2,000,000	$2,000,000
Justin Holiday	SF	26	UFA	GSW	ATL	2	$1,962,972	$981,486
Louis Amundson	PF	32	UFA	NYK	NYK	1	$1,650,000	$1,650,000
Lance Thomas	SF	27	UFA	NYK	NYK	1	$1,600,000	$1,600,000
Amar'e Stoudemire	PF	32	UFA	DAL	MIA	1	$1,499,187	$1,499,187
Ronnie Price	PG	32	UFA	LAL	PHX	1	$1,499,187	$1,499,187
Charlie Villanueva	PF	30	UFA	DAL	DAL	1	$1,499,187	$1,499,187
David West	PF	34	UFA	IND	SAS	1	$1,499,187	$1,499,187
Richard Jefferson	SF	35	UFA	DAL	DAL	1	$1,499,187	$1,499,187
Gerald Green	SF	29	UFA	PHX	MIA	1	$1,356,146	$1,356,146
Marcus Thornton	SG	28	UFA	PHX	HOU	1	$1,185,784	$1,185,784
Wesley Johnson	SF	28	UFA	LAL	LAC	1	$1,100,602	$1,100,602
Willie Reed	PF	25	UFA	BKN	BKN	1	$947,276	$947,276
Ronald Roberts	SF	23	UFA	PHI	TOR	-	-	-
Shayne Whittington	C	24	UFA	IND	IND	1	-	$0
James Anderson	SG	26	UFA	PHI	SAC	-	-	-
